epoch,step,batch,train_loss,train_xyz_loss,train_class_loss
1,1,1,1.835866928100586,0.9639029502868652,1.7439279556274414
1,2,2,1.4702156782150269,0.7157229781150818,1.5089854001998901
1,3,3,1.512037754058838,0.73558109998703,1.5529134273529053
1,4,4,1.5941648483276367,0.6795451641082764,1.8292394876480103
1,5,5,1.2552552223205566,0.507362961769104,1.4957845211029053
1,6,6,1.3163375854492188,0.5872665643692017,1.4581420421600342
1,7,7,1.439422607421875,0.6101117134094238,1.658621907234192
1,8,8,1.4781291484832764,0.7358822822570801,1.484493613243103
1,9,9,1.3033957481384277,0.6687900424003601,1.2692112922668457
1,10,10,1.4051387310028076,0.6734926104545593,1.463292121887207
1,11,11,1.3063730001449585,0.6157444715499878,1.3812570571899414
1,12,12,1.2534092664718628,0.5499813556671143,1.406855821609497
1,13,13,1.1725263595581055,0.5367695689201355,1.2715134620666504
1,14,14,1.4274072647094727,0.8065527677536011,1.2417091131210327
1,15,15,1.2900338172912598,0.6452372074127197,1.28959321975708
1,16,16,1.327803611755371,0.7049802541732788,1.2456467151641846
1,17,17,1.1330609321594238,0.47754573822021484,1.3110305070877075
1,18,18,1.3588358163833618,0.7601365447044373,1.1973985433578491
1,19,19,1.1683342456817627,0.48706817626953125,1.3625320196151733
1,20,20,1.3179576396942139,0.609902560710907,1.4161101579666138
1,21,21,1.4070122241973877,0.865630030632019,1.0827645063400269
1,22,22,1.0444538593292236,0.40711188316345215,1.2746838331222534
1,23,23,1.1594605445861816,0.5152856111526489,1.2883497476577759
1,24,24,0.9980885982513428,0.43193456530570984,1.132308006286621
1,25,25,1.1329240798950195,0.6377854347229004,0.9902772903442383
1,26,26,1.219645380973816,0.7133535146713257,1.0125837326049805
1,27,27,1.1069934368133545,0.5982037782669067,1.017579436302185
1,28,28,1.1197173595428467,0.6690091490745544,0.901416540145874
1,29,29,1.0618911981582642,0.5129184126853943,1.0979455709457397
1,30,30,1.1857330799102783,0.7404142618179321,0.8906377553939819
