epoch,seconds,lr,train_mse_x,train_mse_y,train_mse_z,train_mae_x,train_mae_y,train_mae_z,train_mean_3d_error,train_classification_accuracy,train_loss,train_xyz_loss,train_class_loss,val_mse_x,val_mse_y,val_mse_z,val_mae_x,val_mae_y,val_mae_z,val_mean_3d_error,val_classification_accuracy,val_loss,val_xyz_loss,val_class_loss
1,33.23909139633179,0.00019995065603657316,2.184830588714017,19.237091597942676,26.443575003572406,1.1582235667882286,3.500283411383513,4.096206284680773,6.079636872335714,0.6811265781806409,0.968255881585516,0.5480500637674532,0.8404116394856325,1.4073060218937998,14.26115355152586,15.161026947437003,0.9157288503718989,3.058046649696246,3.046905038576804,4.865302023837137,0.8880484114977307,0.5156029630536932,0.36260912805209544,0.3059876704991495
2,31.360363721847534,0.00019980267284282717,1.2124744000346888,10.45231881331533,13.282230282107694,0.8503361452200838,2.4894224989950637,2.7999416337734133,4.30889301787846,0.9242473292327614,0.4095077894968136,0.3009031365202561,0.21720930899702334,1.2898055349283608,11.33754860651475,10.477464938488382,0.8933090839010864,2.529808852387629,2.4665539001372507,4.117997877897185,0.9848714069591528,0.31247794767912146,0.2765838066270961,0.07178827984971466
3,31.049230337142944,0.00019955619646030802,1.0083086426569134,7.763293127058084,8.17932998543613,0.7849133192971903,2.146097477758228,2.1468526840827424,3.540624152344382,0.9669796050501781,0.2599887936853907,0.21089581209851455,0.0981859639793509,0.6530769235608076,4.976583772275523,4.781052743793436,0.6378580964819927,1.67017707305308,1.5783095626715633,2.7246043945404836,0.9818456883509834,0.17104477276419727,0.13130087163102067,0.07948780352878138
4,31.67589235305786,0.00019921147013144782,0.8044245643652771,5.853667926386978,6.0578380645228345,0.701457996127597,1.842077763422518,1.851627460997172,3.067898869784606,0.9770152152800259,0.1968089595181381,0.16081257146147318,0.07199277801878748,0.4727385545462235,2.9385843406827297,4.563447885902855,0.5235100138746484,1.259648024404644,1.512657217467246,2.3500987527590476,0.9984871406959153,0.11617993167777646,0.10407980878621836,0.024200243680947846
5,31.871510982513428,0.0001987688340595138,0.643004184326488,4.878109112878802,5.206999312252935,0.6289523036088631,1.6785223711729436,1.6935303584006505,2.7979720039404725,0.9851084493363548,0.16242472151841264,0.13561866491039273,0.05361211300378635,0.36673832444668536,2.5999224427608425,3.7498785010264246,0.47070946743917536,1.1958355463579093,1.3809832458957783,2.1394897553275105,1.0,0.09236421076504799,0.08655196007301695,0.011624502815565435
6,31.78527045249939,0.0001982287250728689,0.5485670990294027,4.075942464614231,4.324368324662613,0.579785707584281,1.559182147603083,1.5462168998878802,2.5665661733719323,0.9970864357397216,0.12719005204474282,0.11395769782168999,0.026464709226981496,0.41292851270597747,2.9870331514621107,2.9714295910995414,0.5097188026208921,1.3491279440459973,1.2713145401762762,2.1679332461912586,1.0,0.08583178699196918,0.08176940583177306,0.008124760094235416
7,31.62627625465393,0.00019759167619387476,0.515403171463976,3.6758435040316795,4.452380773433785,0.5571480099921012,1.4429353323134066,1.5539841792389737,2.4901859546487253,0.9812236969893169,0.14095166523350833,0.11045690581043317,0.0609895186085711,0.32355826344684824,2.200568001497531,2.77222554297743,0.44020424812536196,1.103929675473027,1.196074885427501,1.9105134003101065,1.0,0.07241710515498394,0.0685115227596933,0.007811163249883502
8,31.871684789657593,0.00019685831611286313,0.43500541845700164,3.077370377797145,3.5727351828661886,0.5099398584263963,1.3471905278248786,1.3882600735522042,2.2756671615309143,0.99384914211719,0.10130194222687826,0.09109045053549128,0.02042298319464017,0.37611278282892685,2.1325153749035994,3.2103352510622516,0.4854912159121884,1.0895015930083443,1.322004416346009,2.02207445845842,1.0,0.07865466848692086,0.0760096072327802,0.005290122367385296
9,32.257875204086304,0.00019602936856769434,0.44180175585822407,2.9827051332522534,3.348225125219877,0.5211527147660482,1.3180502227457183,1.3573511302104542,2.2311802534039793,0.9915830365814179,0.1001939153441645,0.08779047513618829,0.02480688139626816,0.2588002468922856,1.6722607749673495,2.3384613161188033,0.400547496489786,1.0024247277702758,1.0492539297614625,1.7130828257227448,1.0,0.056958331339027446,0.055781017938197654,0.002354626987642311
10,32.47147178649902,0.0001951056516295154,0.39880501903658666,2.6153409525042948,3.052952333884395,0.499523336812492,1.2417072173884556,1.305247255882888,2.129626191059877,0.9932016833926837,0.08827214598819715,0.07916249193711819,0.018219308096127974,0.37532994750768806,2.3360874995521628,2.321348882839647,0.4815526463080102,1.1681132468080737,1.0787934723131234,1.878399403120494,0.9984871406959153,0.06878711320403484,0.06572240967523313,0.0061294072129412834
